FedBalancer | INFO flower 2022-05-18 19:14:39,593 | app.py:114 | Flower server running (1000 rounds), SSL is disabled
FedBalancer | INFO flower 2022-05-18 19:14:39,593 | server.py:124 | Initializing global parameters
FedBalancer | INFO flower 2022-05-18 19:14:39,593 | server.py:670 | Requesting initial parameters from one random client
FedBalancer | INFO flower 2022-05-18 19:15:03,291 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 19:15:03,291 | server.py:672 | <flwr.server.grpc_server.grpc_client_proxy.GrpcClientProxy object at 0x7fc9484f9310>
FedBalancer | INFO flower 2022-05-18 19:15:04,321 | server.py:674 | Received initial parameters from one random client
FedBalancer | INFO flower 2022-05-18 19:15:04,321 | server.py:126 | Evaluating initial parameters
FedBalancer | INFO flower 2022-05-18 19:15:05,140 | server.py:133 | initial parameters (loss, other metrics): 1.7820651531219482, {'accuracy': 0.25822871923446655}
FedBalancer | INFO flower 2022-05-18 19:15:06,542 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 19:15:06,543 | server.py:745 | Requesting device info from all clients
FedBalancer | INFO flower 2022-05-18 19:15:06,638 | server.py:750 | Device_id 15
FedBalancer | INFO flower 2022-05-18 19:15:06,639 | server.py:751 | Received device info from all clients
FedBalancer | INFO flower 2022-05-18 19:15:06,639 | server.py:165 | Requesting latency sampling over all clients (1 clients currently)
FedBalancer | INFO flower 2022-05-18 19:15:06,639 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 19:15:23,530 | server.py:237 | client_id,15
FedBalancer | INFO flower 2022-05-18 19:15:23,530 | server.py:238 | download_times,[7.663]
FedBalancer | INFO flower 2022-05-18 19:15:23,530 | server.py:239 | upload_times,[0.733]
FedBalancer | INFO flower 2022-05-18 19:15:23,530 | server.py:240 | per_epoch_train_times,[0.973]
FedBalancer | INFO flower 2022-05-18 19:15:23,531 | server.py:241 | per_batch_train_times,[0.026]
FedBalancer | INFO flower 2022-05-18 19:15:23,531 | server.py:242 | inference_times,[3.61]
FedBalancer | INFO flower 2022-05-18 19:15:23,531 | server.py:243 | round_completion_times,[16.886]
FedBalancer | INFO flower 2022-05-18 19:15:23,531 | server.py:244 | networking_times,[8.411]
FedBalancer | INFO flower 2022-05-18 19:15:23,531 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 19:15:38,063 | server.py:237 | client_id,15
FedBalancer | INFO flower 2022-05-18 19:15:38,063 | server.py:238 | download_times,[7.663, 5.528]
FedBalancer | INFO flower 2022-05-18 19:15:38,063 | server.py:239 | upload_times,[0.733, 0.589]
