FedBalancer | INFO flower 2022-05-17 19:29:26,668 | app.py:114 | Flower server running (1000 rounds), SSL is disabled
FedBalancer | INFO flower 2022-05-17 19:29:26,668 | server.py:124 | Initializing global parameters
FedBalancer | INFO flower 2022-05-17 19:29:26,668 | server.py:670 | Requesting initial parameters from one random client
FedBalancer | INFO flower 2022-05-17 19:30:09,887 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:30:09,887 | server.py:672 | <flwr.server.grpc_server.grpc_client_proxy.GrpcClientProxy object at 0x7f50086b92d0>
FedBalancer | INFO flower 2022-05-17 19:30:11,950 | server.py:674 | Received initial parameters from one random client
FedBalancer | INFO flower 2022-05-17 19:30:11,950 | server.py:126 | Evaluating initial parameters
FedBalancer | INFO flower 2022-05-17 19:30:12,634 | server.py:133 | initial parameters (loss, other metrics): 1.7820651531219482, {'accuracy': 0.25822871923446655}
FedBalancer | INFO flower 2022-05-17 19:30:14,057 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:30:14,057 | server.py:745 | Requesting device info from all clients
FedBalancer | INFO flower 2022-05-17 19:30:14,194 | server.py:750 | Device_id 8
FedBalancer | INFO flower 2022-05-17 19:30:14,194 | server.py:751 | Received device info from all clients
FedBalancer | INFO flower 2022-05-17 19:30:14,194 | server.py:165 | Requesting latency sampling over all clients (1 clients currently)
FedBalancer | INFO flower 2022-05-17 19:30:14,194 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:30:39,910 | server.py:237 | client_id,8
FedBalancer | INFO flower 2022-05-17 19:30:39,910 | server.py:238 | download_times,[5.282]
FedBalancer | INFO flower 2022-05-17 19:30:39,910 | server.py:239 | upload_times,[0]
FedBalancer | INFO flower 2022-05-17 19:30:39,911 | server.py:240 | per_epoch_train_times,[2.964]
FedBalancer | INFO flower 2022-05-17 19:30:39,911 | server.py:241 | per_batch_train_times,[0.09]
FedBalancer | INFO flower 2022-05-17 19:30:39,911 | server.py:242 | inference_times,[5.847]
FedBalancer | INFO flower 2022-05-17 19:30:39,911 | server.py:243 | round_completion_times,[25.711]
FedBalancer | INFO flower 2022-05-17 19:30:39,911 | server.py:244 | networking_times,[5.043]
FedBalancer | INFO flower 2022-05-17 19:30:39,911 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:31:12,527 | server.py:237 | client_id,8
FedBalancer | INFO flower 2022-05-17 19:31:12,527 | server.py:238 | download_times,[5.282, 11.935]
FedBalancer | INFO flower 2022-05-17 19:31:12,527 | server.py:239 | upload_times,[0, 0]
FedBalancer | INFO flower 2022-05-17 19:31:12,527 | server.py:240 | per_epoch_train_times,[2.964, 2.987]
FedBalancer | INFO flower 2022-05-17 19:31:12,527 | server.py:241 | per_batch_train_times,[0.09, 0.091]
FedBalancer | INFO flower 2022-05-17 19:31:12,527 | server.py:242 | inference_times,[5.847, 5.775]
